0.00.002.779 I cmn  common_param: common_params_print_info: verbosity = 3 (adjust with the `-lv N` CLI arg)
0.00.004.694 I srv    load_model: loading model '/fast_drive/cache/hub/models--unsloth--Qwen3.6-35B-A3B-GGUF/snapshots/a483e9e6cbd595906af30beda3187c2663a1118c/Qwen3.6-35B-A3B-UD-Q4_K_XL.gguf'
0.13.651.543 I srv    load_model: initializing, n_slots = 4, n_ctx_slot = 32768, kv_unified = 'true'
0.13.668.437 I srv          init: chat template supports preserving reasoning, consider enabling it via --reasoning-preserve
0.13.668.476 I srv  llama_server: model loaded
0.13.668.488 I srv  llama_server: listening on http://127.0.0.1:8131
17.05.156.332 I slot get_availabl: id  3 | task -1 | selected slot by LRU, t_last = -1
36.31.835.962 I slot print_timing: id  1 | task 1863 | n_decoded =    340, tg =   9.78 t/s, tg_3s =  10.21 t/s
36.34.887.888 I slot print_timing: id  1 | task 1863 | n_decoded =    371, tg =   9.81 t/s, tg_3s =  10.16 t/s
36.37.301.595 I slot print_timing: id  1 | task 1863 | prompt eval time =  113166.77 ms /  7230 tokens (   15.65 ms per token,    63.89 tokens per second)
36.37.301.611 I slot print_timing: id  1 | task 1863 |        eval time =   40234.81 ms /   395 tokens (  101.86 ms per token,     9.82 tokens per second)
36.37.301.612 I slot print_timing: id  1 | task 1863 |       total time =  153401.58 ms /  7625 tokens
36.37.301.613 I slot print_timing: id  1 | task 1863 |    graphs reused =       2159
36.37.302.739 I slot      release: id  1 | task 1863 | stop processing: n_tokens = 19979, truncated = 0
36.37.906.093 I slot get_availabl: id  1 | task -1 | selected slot by LCP similarity, sim_best = 0.725 (> 0.100 thold), f_keep = 1.000
36.37.908.660 I slot launch_slot_: id  1 | task 2264 | processing task, is_child = 0
37.12.297.286 I slot print_timing: id  1 | task 2264 | prompt processing, n_tokens =   2050, progress = 0.80, t =  34.28 s / 59.81 tokens per second
37.46.837.834 I slot print_timing: id  1 | task 2264 | prompt processing, n_tokens =   4098, progress = 0.87, t =  68.82 s / 59.55 tokens per second
38.23.795.974 I slot print_timing: id  1 | task 2264 | prompt processing, n_tokens =   6146, progress = 0.95, t = 105.78 s / 58.10 tokens per second
38.40.925.402 I slot print_timing: id  1 | task 2264 | prompt processing, n_tokens =   7062, progress = 0.98, t = 122.90 s / 57.46 tokens per second
38.50.648.575 I slot print_timing: id  1 | task 2264 | prompt processing, n_tokens =   7574, progress = 1.00, t = 132.63 s / 57.11 tokens per second
39.00.455.455 I slot print_timing: id  1 | task 2264 | n_decoded =    100, tg =  10.35 t/s, tg_3s =  10.35 t/s
39.03.541.209 I slot print_timing: id  1 | task 2264 | n_decoded =    132, tg =  10.36 t/s, tg_3s =  10.37 t/s
39.06.560.423 I slot print_timing: id  1 | task 2264 | n_decoded =    163, tg =  10.34 t/s, tg_3s =  10.27 t/s
39.09.639.719 I slot print_timing: id  1 | task 2264 | n_decoded =    195, tg =  10.35 t/s, tg_3s =  10.39 t/s
39.10.680.553 I slot print_timing: id  1 | task 2264 | prompt eval time =  132775.61 ms /  7578 tokens (   17.52 ms per token,    57.07 tokens per second)
39.10.680.573 I slot print_timing: id  1 | task 2264 |        eval time =   19884.19 ms /   206 tokens (   96.53 ms per token,    10.36 tokens per second)
39.10.680.574 I slot print_timing: id  1 | task 2264 |       total time =  152659.80 ms /  7784 tokens
39.10.680.575 I slot print_timing: id  1 | task 2264 |    graphs reused =       2363
39.10.681.615 I slot      release: id  1 | task 2264 | stop processing: n_tokens = 27762, truncated = 0
39.11.120.870 I slot get_availabl: id  1 | task -1 | selected slot by LCP similarity, sim_best = 0.996 (> 0.100 thold), f_keep = 1.000
39.11.123.228 I slot launch_slot_: id  1 | task 2477 | processing task, is_child = 0
39.22.622.154 I slot print_timing: id  1 | task 2477 | n_decoded =    100, tg =  10.59 t/s, tg_3s =  10.59 t/s
39.24.240.107 I slot print_timing: id  1 | task 2477 | prompt eval time =    2056.89 ms /   101 tokens (   20.37 ms per token,    49.10 tokens per second)
39.24.240.115 I slot print_timing: id  1 | task 2477 |        eval time =   11059.79 ms /   117 tokens (   94.53 ms per token,    10.58 tokens per second)
39.24.240.116 I slot print_timing: id  1 | task 2477 |       total time =   13116.68 ms /   218 tokens
39.24.240.129 I slot print_timing: id  1 | task 2477 |    graphs reused =       2477
39.24.241.160 I slot      release: id  1 | task 2477 | stop processing: n_tokens = 27979, truncated = 0
39.24.489.147 I slot get_availabl: id  1 | task -1 | selected slot by LCP similarity, sim_best = 0.998 (> 0.100 thold), f_keep = 1.000
39.24.491.148 I slot launch_slot_: id  1 | task 2597 | processing task, is_child = 0
39.35.359.155 I slot print_timing: id  1 | task 2597 | n_decoded =    100, tg =  10.62 t/s, tg_3s =  10.62 t/s
39.38.373.154 I slot print_timing: id  1 | task 2597 | n_decoded =    131, tg =  10.54 t/s, tg_3s =  10.29 t/s
39.41.409.523 I slot print_timing: id  1 | task 2597 | n_decoded =    161, tg =  10.41 t/s, tg_3s =   9.88 t/s
39.41.511.531 I slot print_timing: id  1 | task 2597 | prompt eval time =    1453.29 ms /    67 tokens (   21.69 ms per token,    46.10 tokens per second)
39.41.511.539 I slot print_timing: id  1 | task 2597 |        eval time =   15566.89 ms /   162 tokens (   96.09 ms per token,    10.41 tokens per second)
39.41.511.540 I slot print_timing: id  1 | task 2597 |       total time =   17020.18 ms /   229 tokens
39.41.511.541 I slot print_timing: id  1 | task 2597 |    graphs reused =       2636
39.41.512.896 I slot      release: id  1 | task 2597 | stop processing: n_tokens = 28207, truncated = 0
39.42.810.745 I slot get_availabl: id  1 | task -1 | selected slot by LCP similarity, sim_best = 0.571 (> 0.100 thold), f_keep = 1.000
39.42.812.804 I slot launch_slot_: id  1 | task 2762 | processing task, is_child = 0
39.42.812.978 E srv    send_error: task id = 2762, error: request (49424 tokens) exceeds the available context size (32768 tokens), try increasing it
39.42.812.997 I slot      release: id  1 | task 2762 | stop processing: n_tokens = 28207, truncated = 0
39.42.813.036 W srv          stop: cancel task, id_task = 2762
42.37.408.834 I slot get_availabl: id  0 | task -1 | selected slot by LRU, t_last = -1
42.37.409.007 I slot launch_slot_: id  0 | task 2765 | processing task, is_child = 0
42.38.092.650 I slot get_availabl: id  3 | task -1 | selected slot by LRU, t_last = 26834102967
42.38.189.527 I slot launch_slot_: id  3 | task 2766 | processing task, is_child = 0
42.41.492.793 I slot print_timing: id  0 | task 2765 | prompt processing, n_tokens =    307, progress = 0.60, t =   3.30 s / 92.94 tokens per second
42.41.532.099 I slot print_timing: id  3 | task 2766 | prompt processing, n_tokens =    167, progress = 0.95, t =   3.34 s / 49.96 tokens per second
42.44.216.208 I slot print_timing: id  0 | task 2765 | prompt processing, n_tokens =    506, progress = 0.99, t =   6.03 s / 83.96 tokens per second
42.44.216.348 I slot print_timing: id  3 | task 2766 | prompt processing, n_tokens =    347, progress = 0.97, t =   6.03 s / 57.58 tokens per second
42.47.678.527 I slot print_timing: id  3 | task 2766 | prompt processing, n_tokens =    679, progress = 1.00, t =   9.49 s / 71.56 tokens per second
42.56.930.598 I slot print_timing: id  0 | task 2765 | n_decoded =    100, tg =  10.81 t/s, tg_3s =  10.81 t/s
42.57.030.873 I slot print_timing: id  3 | task 2766 | n_decoded =    100, tg =  10.91 t/s, tg_3s =  10.91 t/s
42.59.933.939 I slot print_timing: id  0 | task 2765 | n_decoded =    132, tg =  10.77 t/s, tg_3s =  10.65 t/s
43.00.116.942 I slot print_timing: id  3 | task 2766 | n_decoded =    133, tg =  10.86 t/s, tg_3s =  10.69 t/s
43.02.947.998 I slot print_timing: id  0 | task 2765 | n_decoded =    165, tg =  10.81 t/s, tg_3s =  10.95 t/s
43.03.154.112 I slot print_timing: id  3 | task 2766 | n_decoded =    166, tg =  10.86 t/s, tg_3s =  10.87 t/s
43.06.024.473 I slot print_timing: id  0 | task 2765 | n_decoded =    197, tg =  10.74 t/s, tg_3s =  10.40 t/s
43.06.206.920 I slot print_timing: id  3 | task 2766 | n_decoded =    198, tg =  10.80 t/s, tg_3s =  10.48 t/s
43.09.090.748 I slot print_timing: id  0 | task 2765 | n_decoded =    229, tg =  10.69 t/s, tg_3s =  10.44 t/s
43.09.286.345 I slot print_timing: id  3 | task 2766 | n_decoded =    230, tg =  10.74 t/s, tg_3s =  10.39 t/s
43.12.114.212 I slot print_timing: id  0 | task 2765 | n_decoded =    261, tg =  10.68 t/s, tg_3s =  10.58 t/s
43.12.300.808 I slot print_timing: id  3 | task 2766 | n_decoded =    262, tg =  10.72 t/s, tg_3s =  10.62 t/s
43.14.315.251 I slot print_timing: id  3 | task 2766 | prompt eval time =    9678.59 ms /   683 tokens (   14.17 ms per token,    70.57 tokens per second)
43.14.315.259 I slot print_timing: id  3 | task 2766 |        eval time =   26446.90 ms /   283 tokens (   93.45 ms per token,    10.70 tokens per second)
43.14.315.259 I slot print_timing: id  3 | task 2766 |       total time =   36125.49 ms /   966 tokens
43.14.315.261 I slot print_timing: id  3 | task 2766 |    graphs reused =       2914
43.14.315.848 I slot      release: id  3 | task 2766 | stop processing: n_tokens = 10221, truncated = 0
43.15.148.347 I slot print_timing: id  0 | task 2765 | n_decoded =    296, tg =  10.78 t/s, tg_3s =  11.54 t/s
43.15.696.325 I slot get_availabl: id  3 | task -1 | selected slot by LCP similarity, sim_best = 0.946 (> 0.100 thold), f_keep = 1.000
43.15.698.169 I slot launch_slot_: id  3 | task 3072 | processing task, is_child = 0
43.22.553.378 I slot print_timing: id  0 | task 2765 | n_decoded =    307, tg =   8.80 t/s, tg_3s =   1.49 t/s
43.22.553.405 I slot print_timing: id  3 | task 3072 | prompt processing, n_tokens =    581, progress = 1.00, t =   6.86 s / 84.75 tokens per second
43.25.614.293 I slot print_timing: id  0 | task 2765 | n_decoded =    338, tg =   8.91 t/s, tg_3s =  10.13 t/s
43.28.644.774 I slot print_timing: id  0 | task 2765 | n_decoded =    369, tg =   9.01 t/s, tg_3s =  10.23 t/s
43.31.672.745 I slot print_timing: id  0 | task 2765 | n_decoded =    401, tg =   9.11 t/s, tg_3s =  10.57 t/s
43.32.235.912 I slot print_timing: id  3 | task 3072 | n_decoded =    100, tg =  10.55 t/s, tg_3s =  10.55 t/s
43.32.426.737 I slot print_timing: id  3 | task 3072 | prompt eval time =    7061.95 ms /   585 tokens (   12.07 ms per token,    82.84 tokens per second)
43.32.426.748 I slot print_timing: id  3 | task 3072 |        eval time =    9666.51 ms /   102 tokens (   94.77 ms per token,    10.55 tokens per second)
43.32.426.749 I slot print_timing: id  3 | task 3072 |       total time =   16728.46 ms /   687 tokens
43.32.426.750 I slot print_timing: id  3 | task 3072 |    graphs reused =       3032
43.32.427.359 I slot      release: id  3 | task 3072 | stop processing: n_tokens = 10907, truncated = 0
43.32.699.089 I slot get_availabl: id  3 | task -1 | selected slot by LCP similarity, sim_best = 0.795 (> 0.100 thold), f_keep = 1.000
43.32.700.894 I slot launch_slot_: id  3 | task 3183 | processing task, is_child = 0
43.56.614.817 I slot print_timing: id  0 | task 2765 | n_decoded =    415, tg =   6.02 t/s, tg_3s =   0.56 t/s
43.56.614.860 I slot print_timing: id  3 | task 3183 | prompt processing, n_tokens =   2049, progress = 0.94, t =  23.91 s / 85.68 tokens per second
43.59.616.126 I slot print_timing: id  0 | task 2765 | n_decoded =    416, tg =   5.78 t/s, tg_3s =   0.33 t/s
43.59.616.161 I slot print_timing: id  3 | task 3183 | prompt processing, n_tokens =   2301, progress = 0.96, t =  26.92 s / 85.49 tokens per second
44.06.370.011 I slot print_timing: id  0 | task 2765 | n_decoded =    417, tg =   5.30 t/s, tg_3s =   0.15 t/s
44.06.370.041 I slot print_timing: id  3 | task 3183 | prompt processing, n_tokens =   2813, progress = 1.00, t =  33.67 s / 83.55 tokens per second
44.09.417.855 I slot print_timing: id  0 | task 2765 | n_decoded =    447, tg =   5.47 t/s, tg_3s =   9.84 t/s
44.12.478.430 I slot print_timing: id  0 | task 2765 | n_decoded =    479, tg =   5.65 t/s, tg_3s =  10.46 t/s
44.15.548.352 I slot print_timing: id  0 | task 2765 | n_decoded =    511, tg =   5.82 t/s, tg_3s =  10.42 t/s
44.15.647.259 I slot print_timing: id  0 | task 2765 | prompt eval time =    9488.80 ms /   510 tokens (   18.61 ms per token,    53.75 tokens per second)
44.15.647.267 I slot print_timing: id  0 | task 2765 |        eval time =   87968.74 ms /   512 tokens (  171.81 ms per token,     5.82 tokens per second)
44.15.647.268 I slot print_timing: id  0 | task 2765 |       total time =   97457.54 ms /  1022 tokens
44.15.647.269 I slot print_timing: id  0 | task 2765 |    graphs reused =       3128
44.15.647.338 I slot      release: id  0 | task 2765 | stop processing: n_tokens = 1021, truncated = 0
44.16.096.717 I slot print_timing: id  3 | task 3183 | n_decoded =    100, tg =  10.51 t/s, tg_3s =  10.51 t/s
44.19.171.826 I slot print_timing: id  3 | task 3183 | n_decoded =    136, tg =  10.80 t/s, tg_3s =  11.71 t/s
44.22.211.622 I slot print_timing: id  3 | task 3183 | n_decoded =    172, tg =  11.00 t/s, tg_3s =  11.84 t/s
44.23.639.961 I slot print_timing: id  3 | task 3183 | prompt eval time =   33879.15 ms /  2817 tokens (   12.03 ms per token,    83.15 tokens per second)
44.23.639.969 I slot print_timing: id  3 | task 3183 |        eval time =   17059.78 ms /   189 tokens (   90.26 ms per token,    11.08 tokens per second)
44.23.639.970 I slot print_timing: id  3 | task 3183 |       total time =   50938.93 ms /  3006 tokens
44.23.639.971 I slot print_timing: id  3 | task 3183 |    graphs reused =       3220
44.23.640.675 I slot      release: id  3 | task 3183 | stop processing: n_tokens = 13912, truncated = 0
44.24.452.114 I slot get_availabl: id  3 | task -1 | selected slot by LCP similarity, sim_best = 0.984 (> 0.100 thold), f_keep = 1.000
44.24.454.653 I slot launch_slot_: id  3 | task 3377 | processing task, is_child = 0
44.32.706.345 I slot print_timing: id  3 | task 3377 | prompt eval time =    2890.85 ms /   233 tokens (   12.41 ms per token,    80.60 tokens per second)
44.32.706.355 I slot print_timing: id  3 | task 3377 |        eval time =    5280.80 ms /    63 tokens (   83.82 ms per token,    11.93 tokens per second)
44.32.706.356 I slot print_timing: id  3 | task 3377 |       total time =    8171.65 ms /   296 tokens
44.32.706.357 I slot print_timing: id  3 | task 3377 |    graphs reused =       3281
44.32.707.090 I slot      release: id  3 | task 3377 | stop processing: n_tokens = 14207, truncated = 0
44.33.575.154 I slot get_availabl: id  3 | task -1 | selected slot by LCP similarity, sim_best = 0.984 (> 0.100 thold), f_keep = 1.000
44.33.577.112 I slot launch_slot_: id  3 | task 3443 | processing task, is_child = 0
44.41.536.367 I slot print_timing: id  3 | task 3443 | prompt eval time =    2964.70 ms /   233 tokens (   12.72 ms per token,    78.59 tokens per second)
44.41.536.378 I slot print_timing: id  3 | task 3443 |        eval time =    4994.39 ms /    60 tokens (   83.24 ms per token,    12.01 tokens per second)
44.41.536.379 I slot print_timing: id  3 | task 3443 |       total time =    7959.08 ms /   293 tokens
44.41.536.380 I slot print_timing: id  3 | task 3443 |    graphs reused =       3339
44.41.537.097 I slot      release: id  3 | task 3443 | stop processing: n_tokens = 14499, truncated = 0
44.42.298.109 I slot get_availabl: id  3 | task -1 | selected slot by LCP similarity, sim_best = 0.985 (> 0.100 thold), f_keep = 1.000
44.42.300.165 I slot launch_slot_: id  3 | task 3506 | processing task, is_child = 0
44.53.523.622 I slot print_timing: id  3 | task 3506 | n_decoded =    100, tg =  11.96 t/s, tg_3s =  11.96 t/s
44.54.877.894 I slot print_timing: id  3 | task 3506 | prompt eval time =    2859.39 ms /   225 tokens (   12.71 ms per token,    78.69 tokens per second)
44.54.877.902 I slot print_timing: id  3 | task 3506 |        eval time =    9718.17 ms /   116 tokens (   83.78 ms per token,    11.94 tokens per second)
44.54.877.903 I slot print_timing: id  3 | task 3506 |       total time =   12577.56 ms /   341 tokens
44.54.877.904 I slot print_timing: id  3 | task 3506 |    graphs reused =       3453
44.54.878.665 I slot      release: id  3 | task 3506 | stop processing: n_tokens = 14839, truncated = 0
44.55.717.686 I slot get_availabl: id  3 | task -1 | selected slot by LCP similarity, sim_best = 0.980 (> 0.100 thold), f_keep = 1.000
44.55.720.061 I slot launch_slot_: id  3 | task 3625 | processing task, is_child = 0
44.59.403.219 I slot print_timing: id  3 | task 3625 | prompt processing, n_tokens =    293, progress = 1.00, t =   3.68 s / 79.55 tokens per second
45.07.692.595 I slot print_timing: id  3 | task 3625 | n_decoded =    100, tg =  12.24 t/s, tg_3s =  12.24 t/s
45.10.702.132 I slot print_timing: id  3 | task 3625 | n_decoded =    136, tg =  12.17 t/s, tg_3s =  11.96 t/s
45.13.762.377 I slot print_timing: id  3 | task 3625 | n_decoded =    173, tg =  12.15 t/s, tg_3s =  12.09 t/s
45.14.509.551 I slot print_timing: id  3 | task 3625 | prompt eval time =    3802.74 ms /   297 tokens (   12.80 ms per token,    78.10 tokens per second)
45.14.509.559 I slot print_timing: id  3 | task 3625 |        eval time =   14986.59 ms /   182 tokens (   82.34 ms per token,    12.14 tokens per second)
45.14.509.560 I slot print_timing: id  3 | task 3625 |       total time =   18789.33 ms /   479 tokens
45.14.509.560 I slot print_timing: id  3 | task 3625 |    graphs reused =       3633
45.14.510.286 I slot      release: id  3 | task 3625 | stop processing: n_tokens = 15317, truncated = 0
45.18.410.372 I slot get_availabl: id  3 | task -1 | selected slot by LCP similarity, sim_best = 0.660 (> 0.100 thold), f_keep = 0.649
45.18.412.948 I slot launch_slot_: id  3 | task 3810 | processing task, is_child = 0
45.24.182.929 I slot print_timing: id  3 | task 3810 | prompt processing, n_tokens =    536, progress = 0.67, t =   5.77 s / 92.90 tokens per second
45.31.100.612 I slot print_timing: id  3 | task 3810 | prompt processing, n_tokens =   1199, progress = 0.72, t =  12.69 s / 94.50 tokens per second
45.54.344.138 I slot print_timing: id  3 | task 3810 | prompt processing, n_tokens =   3247, progress = 0.85, t =  35.93 s / 90.37 tokens per second
46.04.537.799 I slot print_timing: id  3 | task 3810 | prompt processing, n_tokens =   4099, progress = 0.91, t =  46.12 s / 88.87 tokens per second
46.07.771.516 I slot print_timing: id  3 | task 3810 | prompt processing, n_tokens =   4375, progress = 0.93, t =  49.36 s / 88.64 tokens per second
46.11.094.196 I slot print_timing: id  3 | task 3810 | prompt processing, n_tokens =   4651, progress = 0.95, t =  52.68 s / 88.29 tokens per second
46.14.483.259 I slot print_timing: id  3 | task 3810 | prompt processing, n_tokens =   4936, progress = 0.97, t =  56.07 s / 88.03 tokens per second
46.14.912.457 I slot print_timing: id  3 | task 3810 | prompt processing, n_tokens =   4966, progress = 0.97, t =  56.50 s / 87.89 tokens per second
46.20.668.140 I slot print_timing: id  3 | task 3810 | prompt processing, n_tokens =   5428, progress = 1.00, t =  62.26 s / 87.19 tokens per second
46.21.025.593 I slot print_timing: id  3 | task 3810 | prompt processing, n_tokens =   5448, progress = 1.00, t =  62.61 s / 87.01 tokens per second
46.29.840.975 I slot print_timing: id  3 | task 3810 | n_decoded =    100, tg =  11.49 t/s, tg_3s =  11.49 t/s
46.32.916.897 I slot print_timing: id  3 | task 3810 | n_decoded =    135, tg =  11.46 t/s, tg_3s =  11.38 t/s
46.35.974.738 I slot print_timing: id  3 | task 3810 | n_decoded =    169, tg =  11.39 t/s, tg_3s =  11.12 t/s
46.37.409.259 I slot print_timing: id  3 | task 3810 | prompt eval time =   62726.07 ms /  5452 tokens (   11.51 ms per token,    86.92 tokens per second)
46.37.409.267 I slot print_timing: id  3 | task 3810 |        eval time =   16270.06 ms /   185 tokens (   87.95 ms per token,    11.37 tokens per second)
46.37.409.267 I slot print_timing: id  3 | task 3810 |       total time =   78996.13 ms /  5637 tokens
46.37.409.268 I slot print_timing: id  3 | task 3810 |    graphs reused =       3815
46.37.409.979 I slot      release: id  3 | task 3810 | stop processing: n_tokens = 15239, truncated = 0
46.37.972.036 I slot get_availabl: id  3 | task -1 | selected slot by LCP similarity, sim_best = 0.968 (> 0.100 thold), f_keep = 1.000
46.37.974.548 I slot launch_slot_: id  3 | task 4006 | processing task, is_child = 0
46.44.380.946 I slot print_timing: id  3 | task 4006 | prompt processing, n_tokens =    492, progress = 1.00, t =   6.41 s / 76.80 tokens per second
46.50.640.170 I slot print_timing: id  3 | task 4006 | prompt eval time =    6525.59 ms /   496 tokens (   13.16 ms per token,    76.01 tokens per second)
46.50.640.178 I slot print_timing: id  3 | task 4006 |        eval time =    6139.85 ms /    69 tokens (   88.98 ms per token,    11.24 tokens per second)
46.50.640.178 I slot print_timing: id  3 | task 4006 |       total time =   12665.44 ms /   565 tokens
46.50.640.179 I slot print_timing: id  3 | task 4006 |    graphs reused =       3882
46.50.641.033 I slot      release: id  3 | task 4006 | stop processing: n_tokens = 15803, truncated = 0
46.50.742.248 I slot get_availabl: id  3 | task -1 | selected slot by LCP similarity, sim_best = 0.937 (> 0.100 thold), f_keep = 1.000
46.50.744.879 I slot launch_slot_: id  3 | task 4078 | processing task, is_child = 0
46.58.189.630 I slot print_timing: id  3 | task 4078 | prompt processing, n_tokens =    545, progress = 0.97, t =   7.44 s / 73.21 tokens per second
47.05.056.526 I slot print_timing: id  3 | task 4078 | prompt processing, n_tokens =   1057, progress = 1.00, t =  14.31 s / 73.86 tokens per second
47.14.292.728 I slot print_timing: id  3 | task 4078 | n_decoded =    100, tg =  10.98 t/s, tg_3s =  10.98 t/s
47.17.301.504 I slot print_timing: id  3 | task 4078 | n_decoded =    134, tg =  11.06 t/s, tg_3s =  11.30 t/s
47.20.350.151 I slot print_timing: id  3 | task 4078 | n_decoded =    168, tg =  11.08 t/s, tg_3s =  11.15 t/s
47.20.441.887 I slot print_timing: id  3 | task 4078 | prompt eval time =   14439.24 ms /  1061 tokens (   13.61 ms per token,    73.48 tokens per second)
47.20.441.900 I slot print_timing: id  3 | task 4078 |        eval time =   15257.59 ms /   169 tokens (   90.28 ms per token,    11.08 tokens per second)
47.20.441.909 I slot print_timing: id  3 | task 4078 |       total time =   29696.83 ms /  1230 tokens
47.20.441.910 I slot print_timing: id  3 | task 4078 |    graphs reused =       4048
47.20.442.700 I slot      release: id  3 | task 4078 | stop processing: n_tokens = 17032, truncated = 0
47.21.335.670 I slot get_availabl: id  3 | task -1 | selected slot by LCP similarity, sim_best = 0.995 (> 0.100 thold), f_keep = 0.998
47.21.337.950 I slot launch_slot_: id  3 | task 4251 | processing task, is_child = 0
47.31.542.659 I slot print_timing: id  3 | task 4251 | prompt processing, n_tokens =    765, progress = 0.97, t =  10.20 s / 74.97 tokens per second
47.37.842.828 I slot print_timing: id  3 | task 4251 | prompt processing, n_tokens =   1229, progress = 1.00, t =  16.50 s / 74.46 tokens per second
47.38.569.169 I slot print_timing: id  3 | task 4251 | prompt processing, n_tokens =   1277, progress = 1.00, t =  17.23 s / 74.11 tokens per second
47.47.396.600 I slot print_timing: id  3 | task 4251 | n_decoded =    100, tg =  11.49 t/s, tg_3s =  11.49 t/s
47.50.401.506 I slot print_timing: id  3 | task 4251 | n_decoded =    134, tg =  11.44 t/s, tg_3s =  11.31 t/s
47.53.491.167 I slot print_timing: id  3 | task 4251 | n_decoded =    169, tg =  11.42 t/s, tg_3s =  11.33 t/s
47.54.023.564 I slot print_timing: id  3 | task 4251 | prompt eval time =   17353.65 ms /  1281 tokens (   13.55 ms per token,    73.82 tokens per second)
47.54.023.572 I slot print_timing: id  3 | task 4251 |        eval time =   15331.80 ms /   175 tokens (   87.61 ms per token,    11.41 tokens per second)
47.54.023.573 I slot print_timing: id  3 | task 4251 |       total time =   32685.45 ms /  1456 tokens
47.54.023.574 I slot print_timing: id  3 | task 4251 |    graphs reused =       4220
47.54.024.367 I slot      release: id  3 | task 4251 | stop processing: n_tokens = 17260, truncated = 0
47.55.084.024 I slot get_availabl: id  3 | task -1 | selected slot by LCP similarity, sim_best = 0.988 (> 0.100 thold), f_keep = 1.000
47.55.085.931 I slot launch_slot_: id  3 | task 4430 | processing task, is_child = 0
48.06.164.922 I slot print_timing: id  3 | task 4430 | prompt eval time =    2990.02 ms /   212 tokens (   14.10 ms per token,    70.90 tokens per second)
48.06.164.934 I slot print_timing: id  3 | task 4430 |        eval time =    8088.81 ms /    94 tokens (   86.05 ms per token,    11.62 tokens per second)
48.06.164.935 I slot print_timing: id  3 | task 4430 |       total time =   11078.82 ms /   306 tokens
48.06.164.936 I slot print_timing: id  3 | task 4430 |    graphs reused =       4312
48.06.165.734 I slot      release: id  3 | task 4430 | stop processing: n_tokens = 17565, truncated = 0
48.07.843.711 I slot get_availabl: id  3 | task -1 | selected slot by LCP similarity, sim_best = 0.998 (> 0.100 thold), f_keep = 1.000
48.07.845.846 I slot launch_slot_: id  3 | task 4527 | processing task, is_child = 0
48.17.112.262 I slot print_timing: id  3 | task 4527 | n_decoded =    100, tg =  11.65 t/s, tg_3s =  11.65 t/s
48.20.146.449 I slot print_timing: id  3 | task 4527 | n_decoded =    135, tg =  11.62 t/s, tg_3s =  11.54 t/s
48.23.180.882 I slot print_timing: id  3 | task 4527 | n_decoded =    170, tg =  11.60 t/s, tg_3s =  11.53 t/s
48.26.183.527 I slot print_timing: id  3 | task 4527 | n_decoded =    205, tg =  11.61 t/s, tg_3s =  11.66 t/s
48.29.226.864 I slot print_timing: id  3 | task 4527 | n_decoded =    240, tg =  11.60 t/s, tg_3s =  11.50 t/s
48.32.264.300 I slot print_timing: id  3 | task 4527 | n_decoded =    275, tg =  11.59 t/s, tg_3s =  11.52 t/s
48.35.324.969 I slot print_timing: id  3 | task 4527 | n_decoded =    310, tg =  11.57 t/s, tg_3s =  11.44 t/s
48.38.381.268 I slot print_timing: id  3 | task 4527 | n_decoded =    345, tg =  11.56 t/s, tg_3s =  11.45 t/s
48.41.430.050 I slot print_timing: id  3 | task 4527 | n_decoded =    380, tg =  11.55 t/s, tg_3s =  11.48 t/s
48.44.507.269 I slot print_timing: id  3 | task 4527 | n_decoded =    415, tg =  11.53 t/s, tg_3s =  11.37 t/s
48.44.768.942 I slot print_timing: id  3 | task 4527 | prompt eval time =     683.05 ms /    32 tokens (   21.35 ms per token,    46.85 tokens per second)
48.44.768.950 I slot print_timing: id  3 | task 4527 |        eval time =   36239.88 ms /   418 tokens (   86.70 ms per token,    11.53 tokens per second)
48.44.768.951 I slot print_timing: id  3 | task 4527 |       total time =   36922.92 ms /   450 tokens
48.44.768.952 I slot print_timing: id  3 | task 4527 |    graphs reused =       4726
48.44.769.777 I slot      release: id  3 | task 4527 | stop processing: n_tokens = 18014, truncated = 0
49.14.900.105 I slot get_availabl: id  3 | task -1 | selected slot by LCP similarity, sim_best = 0.911 (> 0.100 thold), f_keep = 1.000
49.14.902.130 I slot launch_slot_: id  3 | task 4948 | processing task, is_child = 0
49.32.624.989 I slot print_timing: id  3 | task 4948 | prompt processing, n_tokens =   1237, progress = 0.97, t =  17.72 s / 69.80 tokens per second
49.40.173.029 I slot print_timing: id  3 | task 4948 | prompt processing, n_tokens =   1749, progress = 1.00, t =  25.27 s / 69.21 tokens per second
49.49.214.132 I slot print_timing: id  3 | task 4948 | n_decoded =    100, tg =  11.22 t/s, tg_3s =  11.22 t/s
49.52.301.871 I slot print_timing: id  3 | task 4948 | n_decoded =    134, tg =  11.17 t/s, tg_3s =  11.01 t/s
49.55.320.645 I slot print_timing: id  3 | task 4948 | n_decoded =    168, tg =  11.19 t/s, tg_3s =  11.26 t/s
49.58.398.168 I slot print_timing: id  3 | task 4948 | n_decoded =    202, tg =  11.16 t/s, tg_3s =  11.05 t/s
50.01.418.471 I slot print_timing: id  3 | task 4948 | n_decoded =    235, tg =  11.13 t/s, tg_3s =  10.93 t/s
50.04.449.644 I slot print_timing: id  3 | task 4948 | n_decoded =    269, tg =  11.14 t/s, tg_3s =  11.22 t/s
